OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
80. A Check Point administrator faces this situation: A requirement says: add a Secondary SMS and make sure gateways can still send or preserve logs if the preferred log path is unavailable. Which option is the best answer?;Enable IKEv2 in the VPN community;Create a User Template;Run migrate_server verify;Configure backup log server settings on the gateway or cluster object;D;Management HA deployment includes reviewing logging settings. Adding a backup log server is different from VPN settings, user defaults, or migration verification.
81. A Check Point administrator faces this situation: A requirement says: check whether a policy install uses a full legacy conversion path or a faster path based on the changes made since the last install. Which option is the best answer?;Accelerated or Full policy installation decision by CPM;Compliance Rescan;VPN Routing selection;CPUSE package import;A;The install type decision belongs to the policy installation flow handled by CPM. Compliance rescans posture, VPN routing selects tunnel paths, and CPUSE imports software packages.
82. A Check Point administrator faces this situation: A requirement says: a gateway should compare local policy files with management-side files during startup and install newer files when appropriate. Which option is the best answer?;SmartEvent scheduled report behavior;Gateway policy loading behavior after process startup;LDAP Group scope behavior;Manual NAT proxy ARP behavior;B;The policy installation section describes how gateways load local policy files at startup and compare with Management Server versions. This is not a reporting, LDAP, or Proxy ARP behavior.
83. A Check Point administrator faces this situation: A requirement says: configure a feed that parses either a flat list or JSON and can use a delimiter and ignore lines with a hash prefix. Which option is the best answer?;Access Role machine settings;Management HA synchronization settings;Network Feed parsing settings;VPN Tunnel Sharing settings;C;Network Feeds include parsing controls such as format, data type, delimiter, and ignored line prefix. Access Roles, Management HA, and VPN Tunnel Sharing have different configuration models.
84. A Check Point administrator faces this situation: A requirement says: define default settings for newly created internal users, including authentication, expiration, groups, location, time, and encryption options. Which option is the best answer?;Access Role;Network Feed;Updatable Object;User Template;D;User Templates standardize settings applied to new internal user accounts. Access Roles are rule-matching objects, Network Feeds consume external lists, and Updatable Objects represent Check Point-maintained external services.
85. A Check Point administrator faces this situation: A requirement says: avoid duplicate VPN community ambiguity when a gateway participates in more than one community. Which option is the best answer?;Ensure the same pair of gateways does not match more than one VPN Community;Make every community a Star Community;Disable the VPN column in the rulebase;Use only pre-shared secrets;A;Multiple community membership can be valid, but the same gateway pair must not be matched by more than one community. The topology type and authentication method do not by themselves remove this ambiguity.
86. A Check Point administrator faces this situation: A requirement says: the VPN should use certificates for internally managed Check Point gateways with no manual trust action between those internal peers. Which option is the best answer?;Use LDAP Group passwords;Use ICA-issued certificates for internally managed gateways;Use Network Feed tokens;Use CDT deployment plans;B;Internally managed Check Point VPN gateways receive certificates from the same ICA and authenticate with certificates. LDAP, feeds, and CDT are unrelated to IKE peer authentication.
87. A Check Point administrator faces this situation: A requirement says: detect configuration issues against more than 300 Check Point security best practices and map them to regulations. Which option is the best answer?;SmartEvent Software Blade;CPUSE;Compliance Software Blade;Dynamic Object;C;The Compliance Blade includes a large database of predefined Check Point Security Best Practices and maps regulatory requirements to actionable checks. SmartEvent is threat/event visibility, not compliance scoring.
88. A Check Point administrator faces this situation: A requirement says: verify the Management API is ready repeatedly after boot before continuing with lab configuration. Which option is the best answer?;fw fetch <Management address>;cpstop;migrate_server import;watch -d -n 1 'api status';D;Monitoring api status confirms Management API readiness. The watch wrapper simply repeats the command. fw fetch, cpstop, and migrate_server import are not readiness checks for the Management API.
89. A Check Point administrator faces this situation: A requirement says: move an existing management database to a new clean server but first verify that it can be upgraded to the target R82 version. Which option is the best answer?;migrate_server verify before export/import;fw fetch localhost before export;Install Event Policy before export;Enable Accept all encrypted traffic;A;The advanced upgrade workflow uses migrate_server verify to run the Pre-Upgrade Verifier before exporting and importing the management database. The other options do not validate database upgrade compatibility.
90. A Check Point administrator faces this situation: A requirement says: after changing the gateway object version and applicable policy settings during automated deployment, the tool should validate that required gateway processes are running. Which option is the best answer?;Compliance score averaging;Central Deployment Tool validation;Access Role identity matching;Network Feed Test Feed only;B;CDT validates gateway state before and after the deployment plan, including that required processes are running. Compliance scoring, identity matching, and feed testing are different feature domains.
