OTAZKA;A;B;C;D;Spravna odpoved;Vysvetleni
Průřezová témata dle rámcového vzdělávacího programu jsou;osobnostní a sociální výchova, výchova k myšlení v evropských a globálních souvislostech, multikulturní výchova, environmentální a mediální výchova;osobnostní výchova, profesní orientace, ekologická výchova;komunikace, volba povolání, mediální výchova, multikulturní výchova;sociální komunikace, osobnostní výchova, multikulturní výchova, mediální výchova;A;
Současný výukový dialog na druhém stupni základní školy má podobu;dialogickou;monologickou;diskusní;debatní;A;
Socioekonomický status má tyto složky;pohlaví, národnost, rasa, příjem, politická orientace;pohlaví a příjem;kulturní úroveň a příjem;kulturní kapitál, sociální kapitál a ekonomická kapitál;D;
Otázky nižší kognitivní náročnosti jsou takové otázky, které;jsou zaměřeny na doslovné vybavení si faktu;jsou zaměřeny na správnou aplikaci faktu;jsou vždy uzavřené;jsou vždy otevřené;A;
Průměrná pauza mezi replikou žáka a zpětnou vazbu učitele činí v průměru;méně než sekundu;přibližně dvě sekundy;přibližně tři sekundy;přibližně čtyři sekundy;A;
Profesní identita učitele;se dělí na fázi začínajícího učitele, zkušeného učitele a učitele experta;je dána autoritou učitele ve třídě;vzniká přijetím na učitelský obor;doposud neexistuje, protože není vymezena kariérním řádem;A;
Bloomova taxonomie kognitivních operací má následující stupně v tomto pořadí;zapamatování, porozumění, aplikování, analyzování, hodnocení, tvoření;zapamatování, vybavování, aplikování, analyzování, hodnocení, tvoření;zapamatování, porozumění, analyzování, aplikování, hodnocení, tvoření;zapamatování, porozumění, aplikování, analyzování, tvoření, hodnocení;A;
Kurikulum vymezuje;učební plán, osnovy a zkušenost jedince v instituci;vše, co se odehrává ve škole;obsah vzdělávacího programu;povinné standardy formálního školního vzdělávání;A;
Termín zóna nejbližšího vývoje je definován jako;vzdálenost mezi aktuálním stupněm rozvoje a potenciálním stupněm rozvoje;proces, který umožní dítěti nebo začátečníkovi řešit problém, který přesahuje hranice neasistovaného úsilí;oblast, která bude v dané hodině skrze osnovy rozvíjena;oblast, která by měla být v dané hodině skrze osnovy rozvíjena podle RVP;A;
Zřizovatelem střední školy je;kraj (+ další subjekty např. církev…);Ministerstvo školství, mládeže a tělovýchovy;obec;stát;A;
Kulturní kapitál;představuje verbální obratnost, obecné kulturní povědomí, či dosažené vzdělání;představuje výdaje na žáka v dané zemi;představuje souhrn zdrojů, které může určitá osoba využít, protože se zná s jinými lidmi;představuje úroveň kulturnosti žáků dané školy;A;
Školní vzdělávací program dané školy schvaluje;ředitel školy;ministr školství;Česká školní inspekce;kraj;A;
Vnitřní diferenciace znamená, že;žáci jsou součástí heterogenní skupiny, odděleně jsou vzděláváni pouze určitou část školního dne;žáci jsou součástí homogenní skupiny, jsou vzděláváni odděleně po celý den;základní škola je rozdělena na první a druhý stupeň;se žáci dělí do tříd podle genderu;A;
Průřezová témata dle rámcového vzdělávacího programu jsou;osobnostní a sociální výchova, výchova k myšlení v evropských a globálních souvislostech, multikulturní výchova, environmentální a mediální výchova;osobnostní výchova, profesní orientace, ekologická výchova;komunikace, volba povolání, mediální výchova, multikulturní výchova;sociální komunikace, osobnostní výchova, multikulturní výchova, mediální výchova;A;
Mezi monologické vyučovací metody patří;rozhovor, diskuse, brainstorming;demonstrační metody a vyprávění;vysvětlování, vyprávění, instruktáž;heuristické, inscenační a situační metody;C;
Andragogika je;je aplikovaná věda o výchově a vzdělávání mentálně postižených dospívajících;je základní pedagogická disciplína zabývající se výchovou a vzděláváním dospělých ve výkonu trestu;je aplikovaná pedagogická disciplína zabývající se vzděláváním lidí ve věku nad 60 let;je aplikovaná věda o výchově a vzdělávání dospělých lidí;D;
Otázky nižší kognitivní náročnosti jsou takové otázky, které;jsou zaměřeny na doslovné vybavení si faktu;jsou zaměřeny na správnou aplikaci faktu;jsou vždy uzavřené;jsou vždy otevřené;A;
Autoevaluace je;sebehodnocení vedoucí k sebevýchově;zpětná vazba žáka k výkonu učitele (typické pro reformní pedagogiku);soustavný proces hodnocení, ve kterém škola shromažďuje údaje o všech hlavních aspektech fungování školy, aby provedla zhodnocení své činnosti;standardizovaný školský nástroj pro analýzu dat školy;C;
Mezi alternativní školské koncepty nepatří;Steinerova škola;Freinetova škola;Waldorfská škola;Jenská škola;A;
Kurikulum vymezuje;učební plán, osnovy a zkušenost jedince v instituci;vše, co se odehrává ve škole;obsah vzdělávacího programu;povinné standardy formálního školního vzdělávání;A;
Vnitřní diferenciace znamená, že;žáci jsou součástí heterogenní skupiny, odděleně jsou vzděláváni pouze určitou část školního dne;žáci jsou součástí homogenní skupiny, jsou vzděláváni odděleně po celý den;základní škola je rozdělena na první a druhý stupeň;se žáci dělí do tříd podle genderu;A;
Školní vzdělávací program dané školy schvaluje;ředitel školy;ministr školství;Česká školní inspekce;kraj;A;
Bloomova taxonomie kognitivních operací má následující stupně v tomto pořadí;zapamatování, porozumění, aplikování, analyzování, hodnocení, tvoření;zapamatování, vybavování, aplikování, analyzování, hodnocení, tvoření;zapamatování, porozumění, analyzování, aplikování, hodnocení, tvoření;zapamatování, porozumění, aplikování, analyzování, tvoření, hodnocení;A;
Bílá kniha je;dokument MŠMT určující nepovinné učivo v Rámcových vzdělávacích programech;dokument MŠMT dokumentující rozvoj vzdělanosti po roce 1989 v ČR;dokument MŠMT obsahující návrhy restrukturalizace českého školství po roce 1989;dokument MŠMT naznačující strategické linie českého vzdělávání;D;
Individualizované vyučování;spočívá v tom, že se učitel věnuje výhradně jednomu žákovi (například domácí učitel);znamená, že se žáci ve výuce setkávají výhradně s jedním učitelem (například první stupeň ZŠ);je výuka zaměřená na posílení individuality žáků;"znamená, že žáci zpracovávají dané úlohy samostatně (učitelé jsou spíše v roli facilitátorů; typické např. pro „Daltonský plán“)";D;
Školní klima je;sociálně psychologická proměnná, která vyjadřuje kvalitu interpersonálních vztahů;sociálně psychologická proměnná, zahrnující fyzikálních parametry ovlivňující průběh výuky;kultura školy;sociálně psychologická proměnná, která vyjadřuje kvalitu interpersonálních vztahů mezi žáky;A;
Pro výuku vedenou v duchu konstruktivistické teorie je typické;práce s žákovými prekoncepty, aktivita žáka, učitel je průvodcem žáka;sledování reakcí žáka ve vazbě na zadaný podnět, učitel oceňuje a posiluje správné chování;vytváření hodnotově orientovaných postojů žáka, učitel je rádcem;rozvoj personálních forem inteligence žáka, učitel je modelem chování;A;
Psychodidaktika je;oborová didaktika zaměřená na výuku psychologie;metoda rychlého zapamatování vycházející z poznatků behaviorální psychologie;interdisciplinární teorie, která integruje poznatky z obecné didaktiky a psychologie;interdisciplinární teorie, která integruje poznatky z obecné didaktiky a patopsychologie;C;
Reliabilita didaktického testu je;vlastnost didaktického testu, která charakterizuje způsob kladení otázek;vlastnost didaktického testu, která charakterizuje jeho spolehlivost a objektivitu;vlastnost didaktického testu, která charakterizuje způsob hodnocení výsledků testu;vlastnost didaktického testu, která charakterizuje platnost norem;B;
Pojmem „prelingválně neslyšící osoba“ se označuje;osoba, která ztratila sluch 7. roce života;osoba, která se narodila v důsledku nedonošenosti jako neslyšící a v průběhu vývoje se její sluch vyvinul;neslyšící osoba, u které není možný vývoj řeči;osoba, která neslyší od narození, nebo ztratila sluch před dokončením vývoje řeči;D;
Mezi poruchy autistického spektra patří;Aspergerův syndrom;Stockholmský syndrom;Turnerův syndrom;Tourettův syndrom;A;
Specificky narušený vývoj řeči, který se projevuje neschopností nebo sníženou schopností verbálně komunikovat, i když podmínky pro jeho rozvoj jsou dobré, nazýváme;vývojová dysfázie;dysartrie;dyslexie;afázie;A;
Pro jaké žáky se zřizuje předmět prostorová orientace a samostatný pohyb?;pro žáky s mentálním postižením;pro žáky se zrakovým postižením;pro žáky s tělesným postižením;pro žáky s autismem;B;
Mezi specifické poruchy učení nepatří;dyspraxie (=obratnost);dyslalie;dysmuzie (=hudba);dyskalkulie (=počty);B;
Správný postup při podezření na šikanu ve třídě je;ochránit oběť, informovat vedení školy, pozorovat a sbírat důkazy, zajistit svědky…;oznámit policii, izolovat podezřelého agresora, hledat svědky…;vyslechnout agresora, oznámit rodičům, ochránit oběť, zajistit svědky…;informovat vedení školy, vyslechnout třídu, oznámit policii, vyslechnout agresora…;A;
Incentivou se v psychologii rozumí:;vytvoření nového pojmu při učení;vnější pobídka v motivačním procesu;vnitřní pobídka v motivačním procesu;zavedení nového podnětu do procesu podmiňování;B;
Mentoring je;nová forma vzdělávání učitelů spočívající v supervizi;forma kolegiální podpory při profesním růstu (nejen) učitelů;podpora výhradně začínajícím učitelům;forma supervize pro začínající vedení školy;B;
Za rizikové jsou považovány tresty;odčinění následků, omezení potřeb, fyzické tresty;odepření výhod, psychické trestání, omezení potřeb;náhrada škody, ukládání práce, psychické tresty;zákaz zájmové činnosti, ukládání práce, trest učením, psychické a fyzické tresty;D;
Pro uplatňování principů humanistické psychologie je typické;hledání a podpora potenciálu člověka;práce s nevědomou motivací;dekonstrukce samozřejmých předpokladů;pozorování a popis reakce člověka na podnět;A;
Který pojem nebývá spojován s dítětem (mladšího) školního věku?;multisenzorická identifikace;poruchy školních dovedností;stádium logických operací;konformní morálka;A;
Lidé, kteří věří, že podmínky důležité pro dosahování úspěchu jsou určovány především jimi samými, se podle teorie locus of control nazývají;vnitřními externalisty;intrapersonalisty;internalisty;intrapunitivisty;C;
Péče o žáky se speciálními vzdělávacími potřebami je podle školské legislativy zabezpečována pomocí tzv.;speciálně pedagogických opatření;revizních opatření;podpůrných opatření;inkluzivních opatření;C;
Srovnávací (komparativní) pedagogika je;teorie vzdělávání a vyučování, která stanovuje historické mezníky v historii pedagogiky;teorie orientovaná na edukaci a srovnání edukačních přístupů ke zdravé populaci a populaci s handicapem;věda označující teorie i výzkumné aktivity, které se zabývají zkoumáním a srovnáváním pedagogických jevů, charakteristik a fungování vzdělávacích systémů různých zemí;pedagogická disciplína srovnávající pedagogické a psychologické přístupy k výchově jedince;C;
Bernsteinova teorie jazykových kódů zkoumá vztah mezi;socio-kulturními charakteristikami žáků, charakteristikami jejich jazyka a výsledky žáků;výsledky žáků v mateřském jazyce a vzděláním rodičů;jazykovými kódy používanými skupinami žáků v různých vývojových fázích;vztahy a podobnostmi didaktických postupů při výuce různých cizích jazyků;A;
Andragogika je;je aplikovaná věda o výchově a vzdělávání mentálně postižených dospívajících;je základní pedagogická disciplína zabývající se výchovou a vzděláváním dospělých ve výkonu trestu;je aplikovaná pedagogická disciplína zabývající se vzděláváním lidí ve věku nad 60 let;je aplikovaná věda o výchově a vzdělávání dospělých lidí;D;
Co označujeme pojmem didaktický trojúhelník?;učitel, žák, učivo;metoda, prostředek, cíl;cíl výuky, didaktika, výsledky;škola, rodiče, žáci;A;
Rámcové vzdělávací programy přinesly tyto novinky;přesné učební plány, pevné osnovy a standardy;státní maturity a plošné testování;klíčové kompetence, průřezová témata, očekávané výstupy a vzdělávací oblasti;klíče pro jednotné a spravedlivé hodnocení výsledků žáků;C;
Klíčové kompetence bývají obvykle definovány jako;schopnosti účinně jednat;kompetence vedoucí k profesionalitě;schopnosti zvládnout mateřský a alespoň jeden cizí jazyk;kompetence ke zvládnutí informačních technologií a alespoň jednoho cizího jazyka;A;
Bílá kniha je;dokument MŠMT určující nepovinné učivo v Rámcových vzdělávacích programech;dokument MŠMT dokumentující rozvoj vzdělanosti po roce 1989 v ČR;dokument MŠMT obsahující návrhy restrukturalizace českého školství po roce 1989;dokument MŠMT naznačující strategické linie českého vzdělávání;D;
O frontálním vyučování hovoříme, když;žáci pracují ve skupinách, role učitele je pomocná a instruktážní;se žáci vzdělávají v terénu prostřednictvím přímých zkušeností a zážitků;učitel zprostředkovává výklad a zaujímá dominantní roli;žáci samostatně volí témata a cíle výuky;C;
Pro výuku vedenou v duchu konstruktivistické teorie je typické;práce s žákovými prekoncepty, aktivita žáka, učitel je průvodcem žáka;sledování reakcí žáka ve vazbě na zadaný podnět, učitel oceňuje a posiluje správné chování;vytváření hodnotově orientovaných postojů žáka, učitel je rádcem;rozvoj personálních forem inteligence žáka, učitel je modelem chování;A;
Didaktickým testem se prověřuje/prověřují zejména;osobnost a postoje žáka;znalosti, resp. vědomosti žáka;didaktická znalost učitele;učitelovo pojetí výuky;B;
Proces, který se zaměřuje na zjišťování a analýzu dat odrážejících stav a vývoj určitých jevů vzdělávací reality, tj. monitorování a měření těchto jevů, se obvykle nazývá;pedagogická orientace;pedagogická diagnostika;pedagogická evaluace;pedagogický monitoring;C;
Psychodidaktika je;oborová didaktika zaměřená na výuku psychologie;metoda rychlého zapamatování vycházející z poznatků behaviorální psychologie;interdisciplinární teorie, která integruje poznatky z obecné didaktiky a psychologie;interdisciplinární teorie, která integruje poznatky z obecné didaktiky a patopsychologie;C;
Inkluzivní vzdělávání je;společné vzdělávání žáků „zdravých“ i žáků se speciálními vzdělávacími potřebami;vytváření speciálních tříd pro žáky se speciálními vzdělávacími potřebami uvnitř běžné školy;výuka žáků se zdravotním postižením ve speciálních školách;vzdělávání s asistencí zaměřené na vyrovnání sociálního handicapu žáka;A;
O mentálním postižení (retardaci) hovoříme, má-li jedinec IQ;nižší než 90;nižší než 80;nižší než 70;nižší než 60;C;
Zkratkou ADHD označujeme;poruchu zrakové percepce;hyperkinetický syndrom s poruchou pozornosti;poruchu pozornosti s vadou řeči;hypokinetickou kognitivní poruchu;B;
Specificky narušený vývoj řeči, který se projevuje sníženou schopností či neschopností komunikovat, i když podmínky pro rozvoj řeči jsou přiměřené, nazýváme;vývojová dysfázie;dyslexie;dysartrie;dyslalie;A;
Do skupiny žáků se zdravotním postižením nepatří podle zákona 561/2004 Sb., žáci:;s vadami řeči;se specifickými poruchami chování;se specifickými poruchami učení;s nařízenou ústavní nebo ochrannou výchovou;D;
Dysortografie je;porucha čtení;porucha psaní;porucha pravopisu;porucha řeči;C;
Etopedie se zabývá;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají poruchu chování;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají poruchu učení;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají poruchu intelektu;rozvojem, výchovou a vzděláváním dětí, mládeže a dospělých, kteří mají sociální handicap;A;
Vzdělávání dětí, žáků a studentů se speciálními vzdělávacími potřebami a vzdělávání žáků mimořádně nadaných se podle vyhlášky 147/2011 (kterou se mění vyhláška č. 73/2005 Sb.,) uskutečňuje s využitím;integrace a diferenciace;vyrovnávacích a podpůrných opatření;pomáhajících a kontrolních opatření;integračně intervenčních opatření;B;
Školní psychologové;mohou pracovat v základních i středních školách, obvykle v tzv. školních poradenských pracovištích, mohou být zaměstnanci školy;mohou být pouze zaměstnanci pedagogicko-psychologických poraden, legislativa dosud neumožňuje jejich zaměstnávání ve školách;mohou být zaměstnanci základních i středních škol a mohou nahrazovat práci výchovného poradce a metodika prevence;jsou dnes běžnou součástí škol, základní školy mají podle vyhlášky 116/2011 Sb., povinnost zaměstnávat vedle výchovných poradců a metodiků prevence také školní psychology;A;
Pojem lateralita označuje;nerovnoměrnost párových orgánů jako odraz dominance jedné z mozkových hemisfér;synonymum ambidexterie;základní literární gramotnost žáka;ustrnutí v latentní fázi vývoje (mladší školní věk) podle vývojové teorie S. Freuda;A;
Myšlení generující více výsledků řešení je;myšlení konvergentní;myšlení unovergní;myšlení divergentní;myšlení multivergní;C;
Inteligence je;vrozená vlastnost osobnosti;schopnost, kterou lze do určité míry rozvíjet po celý život;schopnost, která se po 15 roce věku již nemění;kognitivní dovednost, jejíž rozvoj nezávisí na vrozených dispozicích;B;
Pojmem coping proces se v psychologii obvykle označuje;proces nápodoby u dětí v batolecím období;proces nápodoby procesů učení v mladším školním věku;způsob zvládání stresových situací;způsob reakce na provinění žáka;C;
Pojmem školní způsobilost se označuje;nabytí klíčových kompetencí stanovených v rámcových vzdělávacích programech;intelektová způsobilost absolvovat školní docházku v běžné škole;dovršení šestého roku věku;psychická zralost a připravenost dítěte k zahájení povinné školní docházky;D;
Hierarchie – pyramida potřeb humanistického autora Abrahama Maslowa neobsahuje;potřebu sebeaktualizace;potřeby uznání;potřeby hodnotové;potřeby bezpečí;C;
Zastáncem tzv. pragmatické pedagogiky, která mj. zdůrazňovala zkušenosti žáka, kterých nabývá zejména v průběhu vlastní činnosti, byl;John Dewey;Jean Jacques Rousseau;Otakar Kádner;Platón;A;
H. Gardner zahrnuje do svého pojetí inteligence mj. také:;personální formy inteligence (intrapersonální a interpersonální nadání);sociální formy inteligence (interakční a komunikační nadání);kognitivní formy inteligence (intuitivní a racionální nadání);volní formy inteligence (návykové a snahové nadání);A;
Inteligence je:;vrozená vlastnost osobnosti;schopnost, kterou lze do určité míry rozvíjet po celý život;schopnost, která se po 18. roce věku již obvykle nemění;kognitivní dovednost, jejíž rozvoj nezávisí na vrozených dispozicích;B;
Pojem školní způsobilost znamená:;zralost a připravenost dítěte k zahájení školní docházky;dozrání laterality, preference pravé ruky;ukončení povinné školní docházky;zvládnutí přijímacího řízení do sekundárního vzdělávání;A;
Aspirační úroveň je;míra tolerance k neúspěchu;úroveň shody kognitivní struktury a reality;míra saturace kognitivní potřeby;očekávaná úroveň vlastního výkonu, výsledku;D;
Poruchy chování u žáků:;Mají multifaktoriální příčiny a intelekt žáka nemusí být porušen;Příčiny jsou genetické a intelekt bývá obvykle slabě narušený;Vznikají vždy na základě chyb v rodičovské výchově;Jsou vždy spojeny s poruchami intelektu, prognóza však bývá optimistická;A;
V české školské legislativě jsou jako povinné funkce ve školních poradenských pracovištích uvedeny:;Školní psycholog, výchovný-kariérový poradce, speciální pedagog, metodik prevence;Metodik prevence a výchovný-kariérový poradce;Metodik prevence, výchovný-kariérový poradce a školní psycholog;Jen výchovný-kariérový poradce;B;
Školní výchovný-kariérový poradce:;Může být učitelem jakého předmětu a nemá nárok na žádnou úlevu z přímé výuky;Má nárok na úlevu z přímé výuky dle legislativy a nemusí mít žádné speciální vzdělání;Má nárok na úlevu z přímé výuky dle legislativy a musí mít předepsané specializační vzdělání;Je učitelem, musí však mít vystudovaný obor psychologie nebo sociální pedagogika;C;
Výsledky učení mohou být:;Nadání, talent, návyky;Vlastnosti, znalosti, vlohy;Návyky, vědomosti, dovednosti (kompetence);Schopnosti, emoce, dovednosti;C;
Operační podmiňování;je jednoduché učení počítající se zpevněním za využití odměny;je učení se logickým myšlenkovým operacím;je učení za pomoci řešení problémů;je pouhým přizpůsobením organismu změněným podmínkám;A;
Které pojmy jsou typické pro konstruktivistické pojetí výuky?;motivace, ovlivňování, vůle, stimulace;emoce, zážitek, odměna, spolupráce;problém, trest, odměna, autoregulace;prekoncept, sdílení, aktivizace, zkušenost;D;
Autor teorie Zóny nejbližšího vývoj je:;Erikson;J. Piaget;S. Freud;L. S. Vygotskij;D;
Který pojem není typický pro dospívání?;Absolutní morálka;Prokrastinace;Konfabulace;Divergentní myšlení;C;
Diagnostiku nadání u žáků provádí:;Učitel příslušného předmětu;Výchovný poradce;Školní nebo poradenský psycholog;Třídní učitel;C;
Která následující formulace nejlépe popisuje Eriksonovu představu nejdůležitějšího vývojového úkolu v adolescenci?;hledání intimity;vývoj superega;identifikaci se sexuální rolí;hledání vlastní identity;D;
Pro kreativní řešení problémů je charakteristické myšlení;ulpívavé;konvergentní;teoretické;divergentní;D;
Mezi specifické poruchy učení nepatří;dyspinxie;dyskalkulie;dysortografie;dysfagie;D;
Pyramida potřeb hierarchizující lidské potřeby od fyziologických po sebeaktualizační je produktem bádání;Makarenka;Rogerse;Thorndikea;Maslowa;D;
Mezi aplikační oblasti psychologie jako vědní disciplíny nepatří;školní psychologie;psychologie managementu;klinická psychologie;naivní psychologie;D;
Jízda na kole je produktem učení;intelektového;mechanického;divergentního;senzomotorického;D;
Aspirace jsou v psychologii chápány jako;vývojový model;výzkumná metoda;vrozená dispozice;snaha něčeho dosáhnout;D;
Myšlení směřující k jednomu výsledku či řešení je;konvenční;konvexní;konkávní;konvergentní;D;
Schopnost chápat vlastní emoce, emoce druhých, pracovat s nimi, dovedně komunikovat a orientovat se v mezilidských vztazích označujeme jako;manipulaci;sociální fobii;komunikaci;sociální inteligenci;D;
Schopnost zvládat zátěž a stres označujeme jako;frustrační toleranci;aktivační úroveň;maladaptaci;coping;D;
Příčinou frustrace je;agresivní osobnost;inteligence jedince;stres a zátěž;nějaká překážka (vnitřní, vnější) bránící naplňování potřeb jedince;D;
Mezi druhy paměti nepatří;krátkodobá;implicitní;senzorická;kreativní;D;
Mezi dimenze výchovných stylů nepatří;emoční vztah;kontrola požadavků;řízení;motivace;D;
Pavlovovy experimenty se psy jsou příkladem jakého typu učení?;memorování;operantního podmiňování;senzomotorického učení;klasického podmiňování;D;
Pro označení, že test či jiný diagnostický prostředek skutečně ověřuje to, co jím chceme zjistit, tedy jeho platnost, označujeme pojmem;reliabilita;validita;senzibilita;efektivita;B;
Halo-efekt při poznávání osobnosti znamená;zpracování soukromých informací o člověku;generalizace prvního dojmu o jedinci;využití informací od jiných lidí;zdůraznění kladných vlastností osobnosti;B;
Pojem transfer v pedagogické psychologii znamená;využití zkušeností v podobných činnostech;převod jedné teorie do druhé;přenos základních pojmů do složitějších;vzájemné ovlivňování všech psychických funkcí;A;
Asociace znamená;spojení mezi dvěma či více vjemy, představami a jednoduchými city;jde o základní pojem geštalt-psychologie;pojem, kterým se vysvětluje chování zvířat;asociální chování;A;
Incentivou se v psychologii rozumí;vytvoření nového pojmu při učení;vnější pobídka v motivačním procesu;vnitřní pobídka v motivačním procesu;zavedení nového podnětu do procesu podmiňování;B;
Schopnosti jsou v psychologii chápány jako;adaptační mechanismy;předpoklady k úspěšnému vykonávání určité činnosti;psychofyziologické mechanismy;učením získané dispozice;B;
Divergentní myšlení;znamená myšlení, které brání tvořivosti;postupuje se různými cestami k několika odlišným řešením;vyžaduje vyšší rozvoj inteligence;je rozhodující pro vývoj u dětí předškolního věku;B;
Lateralita je;upřednostňování levé končetiny;nerovnoměrnost párových orgánů jako odraz dominance jedné z mozkových hemisfér;projev nevyhraněné dominance jedné z mozkových hemisfér;synonymum ambidextrie;B;
